loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0.0,0.0,0.0,6.8528683287066485
318.71148681640625,1127.5933218672872,3687.363793581724,2559.770471714437,470.5693041010641
345.33721923828125,405.1016311645508,3587.3324604034424,3182.2308292388916,566.3137907867915
343.9281921386719,391.37954285927117,-234.174362545833,-625.5539054051042,971.6264774527508
342.6036071777344,398.2176299095154,-18988.646166801453,-19386.863796710968,6997.794345154296
341.4241027832031,411.5630569458008,-102196.73040390015,-102608.29346084595,5015.025620427687
340.6295166015625,419.5707778930664,-312510.5593032837,-312930.13008117676,6732.065046859353
339.5538330078125,435.210693359375,-836309.1785583496,-836744.389251709,4001.4390803754063
338.81182861328125,445.3973388671875,-1824744.6748046875,-1825190.0721435547,6984.538828696258
338.548828125,448.0009765625,-3649698.437133789,-3650146.4381103516,459.5134339169967
338.30242919921875,449.44189453125,-8328645.654541016,-8329095.096435547,4593.581903331501
338.5408630371094,442.65478515625,-14629427.329589844,-14629869.984375,1519.2027914725793
338.65203857421875,438.185546875,-31844637.68408203,-31845075.869628906,1944.0273056523724
338.50640869140625,439.1025390625,-45308499.34277344,-45308938.4453125,6619.531639044373
338.8353576660156,430.1728515625,-62738328.181640625,-62738758.35449219,4351.072051960336
338.83172607421875,427.943359375,-85601384.2734375,-85601812.21679688,6440.155674071096
339.1489562988281,421.95703125,-137842882.35546875,-137843304.3125,5598.479971154323
339.65460205078125,411.71875,-347253319.015625,-347253730.734375,1543.5121686199166
339.5481872558594,413.96875,-568667115.71875,-568667529.6875,6929.235538043077
339.8760681152344,407.03125,-845306823.71875,-845307230.75,7042.530510253589
339.9060974121094,408.59375,-1199083849.53125,-1199084258.125,4972.291588637306
339.6870422363281,404.9375,-1529514246.265625,-1529514651.203125,6846.1637398229295
340.23492431640625,397.1875,-1989448748.25,-1989449145.4375,5139.092989954268
339.9664001464844,391.9375,-2081073005.6875,-2081073397.625,4951.652041406074
340.24822998046875,396.0625,-2149266670.625,-2149267066.6875,6800.037927391663
339.9796142578125,408.875,-2590720600.75,-2590721009.625,6796.915770164198
340.978759765625,386.4375,-3958028835.5,-3958029221.9375,6738.032347770776
340.43560791015625,397.5,-7017764055.5,-7017764453.0,5504.896752402209
340.5640869140625,385.75,-9853780133.25,-9853780519.0,2100.988786356485
340.848388671875,398.75,-6587289354.75,-6587289753.5,4000.1391511894526
341.3737487792969,335.625,-6194614982.9375,-6194615318.5625,6851.011926780754
339.96099853515625,384.25,-6325912944.25,-6325913328.5,3354.0676905987707
341.0736389160156,382.75,-7269502992.0,-7269503374.75,2570.8081751675704
340.5628662109375,406.5,-10304194517.0,-10304194923.5,6888.228815201188
340.42950439453125,376.5,-12204923934.5,-12204924311.0,1226.0659833901188
341.2415466308594,461.5,-11393874349.0,-11393874810.5,3830.8873548374213
340.3616943359375,417.0,-10912034266.0,-10912034683.0,3966.2781465357184
340.5391845703125,415.0,-14714472020.0,-14714472435.0,5763.869387727942
340.81585693359375,386.0,-12395847458.0,-12395847844.0,2068.0854487110105
341.0379943847656,398.5,-15007611092.0,-15007611490.5,3966.1624006456077
341.68426513671875,466.0,-16921772815.0,-16921773281.0,5451.362953335331
340.2984313964844,426.0,-19157062490.0,-19157062916.0,1588.5097027220165
