loss,greedy_rewards,sample_rewards
8.134939193725586,[832.4274],[-375.078]
4.900527000427246,[1051.8105],[-324.77896]
4.862138271331787,[1219.9718],[-47.656532]
2.516681432723999,[1159.957],[-94.826614]
2.2509407997131348,[1263.7119],[114.27556]
0.852035403251648,[1237.2424],[190.47464]
-0.18831521272659302,[1114.719],[264.11182]
-0.18848475813865662,[1104.3779],[354.1621]
-1.272623062133789,[1066.9065],[161.3177]
-0.16141292452812195,[1036.597],[416.4288]
-1.308059811592102,[1098.1726],[564.8575]
-1.4990251064300537,[1121.568],[267.50604]
-2.280489921569824,[974.10925],[444.7723]
-1.6964309215545654,[966.11884],[402.511]
-3.212308883666992,[878.62976],[557.0273]
-2.6386122703552246,[1067.9462],[555.3512]
-2.247394323348999,[1062.3284],[464.1945]
-3.196943998336792,[1119.0018],[495.9522]
-2.0974631309509277,[1097.0571],[554.15533]
-2.6518306732177734,[1048.0139],[464.95175]
-2.80020809173584,[1181.688],[689.5914]
-2.5550975799560547,[1186.6698],[594.90125]
-3.2341907024383545,[1227.7595],[385.80768]
-2.9153380393981934,[1263.3187],[543.12537]
-3.157200574874878,[1187.1394],[687.43713]
-3.2105612754821777,[1182.2739],[649.82184]
-3.7822775840759277,[1226.8064],[572.8598]
-3.737884521484375,[1107.5582],[577.4762]
-3.4941253662109375,[1274.7043],[565.77893]
-3.3999271392822266,[1249.5023],[501.3164]
-3.0958480834960938,[1338.7014],[601.47394]
-3.492257595062256,[1184.246],[197.49051]
-2.7804954051971436,[1227.6466],[777.3451]
-3.290886640548706,[1180.3615],[724.4833]
-3.527414321899414,[1317.8329],[793.6268]
-3.571791648864746,[1268.5413],[531.7433]
-3.634446144104004,[1318.868],[477.90503]
-4.303443431854248,[1294.6719],[799.0754]
-2.972370147705078,[1286.6299],[454.70135]
-3.4737658500671387,[1278.2267],[585.93884]
