loss,greedy_rewards,sample_rewards
5.0025458335876465,[-28.120647],[10.011847]
4.56796407699585,[-14.7821455],[4.462458]
4.788708686828613,[-10.3481655],[-6.4445505]
4.729872703552246,[-25.18774],[50.058304]
3.5003771781921387,[68.08549],[5.9510937]
4.070667266845703,[23.451557],[-23.69455]
2.5680270195007324,[156.37506],[-39.41324]
2.96540904045105,[82.855156],[29.724127]
2.898859739303589,[111.86084],[26.063242]
2.443756103515625,[216.65804],[77.214226]
2.730334997177124,[144.65678],[6.2879477]
2.873945713043213,[128.25629],[-31.758137]
2.3599295616149902,[109.18447],[67.98931]
1.8363406658172607,[120.156815],[-4.2202067]
1.9355173110961914,[159.21832],[-101.620834]
1.8991942405700684,[165.22139],[-86.55406]
2.1890921592712402,[80.66307],[0.7665452]
2.2653398513793945,[174.93607],[-34.764755]
1.9868440628051758,[118.60671],[5.3383775]
1.602635383605957,[170.2826],[13.530611]
1.5604108572006226,[116.59308],[-11.6831875]
1.3214161396026611,[119.36912],[3.9303124]
1.4106168746948242,[109.62573],[29.089115]
1.1888670921325684,[120.66518],[-46.586494]
1.0713318586349487,[169.82565],[59.764843]
0.9063844680786133,[126.786095],[0.04362757]
1.3322665691375732,[104.261375],[-94.732635]
1.3417634963989258,[107.86665],[-52.435028]
1.0539156198501587,[149.78212],[-9.028137]
1.0719760656356812,[167.52501],[-13.796476]
0.5725311040878296,[180.45706],[48.887672]
0.7628064155578613,[97.970894],[2.8204699]
0.6071154475212097,[104.51943],[7.9031982]
0.4140547513961792,[119.958824],[87.97635]
-0.05445658415555954,[81.51385],[-6.819163]
0.18364235758781433,[117.34204],[55.534344]
0.1535455584526062,[178.05066],[-10.502641]
0.10918986052274704,[86.38042],[74.08082]
0.25112730264663696,[124.811905],[-81.95933]
0.05902085825800896,[136.98898],[-69.263725]
