loss,greedy_rewards,sample_rewards
62.70374298095703,[-239.1672],[-714.25073]
0.9658589363098145,[80.269005],[-504.5883]
1.077993392944336,[146.93942],[-434.4776]
0.8211261034011841,[304.8656],[-456.77863]
0.9995741248130798,[261.56134],[-467.5126]
1.1739215850830078,[286.9555],[-299.7326]
0.9196032881736755,[266.07565],[-237.59348]
0.7977780699729919,[269.6032],[-245.5394]
2.3247265815734863,[231.8252],[-111.95459]
1.9605443477630615,[227.67807],[-4.2014003]
0.8880286812782288,[196.83115],[-18.72394]
0.9678941369056702,[214.66609],[-26.14452]
1.055281639099121,[206.34683],[-23.78693]
0.893275797367096,[206.43352],[119.98566]
0.919815719127655,[209.44112],[95.09825]
0.919634222984314,[198.62485],[26.253143]
0.9233204126358032,[186.46533],[-50.569633]
0.9291901588439941,[176.85605],[-2.4440103]
0.9368480443954468,[173.63861],[147.01657]
0.9554064273834229,[188.01701],[32.255314]
0.9945290684700012,[189.00684],[57.28177]
1.8227417469024658,[188.57797],[23.848557]
0.8920366764068604,[174.08978],[5.3107376]
0.8765233755111694,[213.21265],[14.091927]
0.8959139585494995,[181.98666],[55.393147]
0.9601373076438904,[182.0944],[92.89289]
0.9107505679130554,[195.71881],[-29.665646]
0.9183399081230164,[312.7454],[-55.822975]
11.125005722045898,[298.22748],[123.95491]
0.851467490196228,[151.51544],[-15.471794]
0.9263487458229065,[170.40585],[-110.264206]
0.842885434627533,[222.405],[117.182495]
0.8141372203826904,[146.7123],[7.6496024]
0.8883488178253174,[125.31162],[103.69347]
0.8795631527900696,[118.96279],[17.044668]
0.846710741519928,[159.80185],[69.90242]
0.8573870062828064,[129.29428],[110.685425]
0.8140099048614502,[146.29828],[88.37564]
0.9620282649993896,[108.40248],[48.49189]
21.706871032714844,[135.67023],[169.73862]
