loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0,0,0,-3.3278258583701947
-6440.5859375,0,0,0,-199.81729848527314
-6546.138671875,0,0,0,-174.59349166310497
-6546.1396484375,0,0,0,-181.82835993277078
-6546.14013671875,0,0,0,-193.46987678766465
-6546.140625,0,0,0,-202.55085859547302
-6546.140625,0,0,0,-237.95424338838325
-6546.1396484375,0,0,0,-266.6342774006312
-6546.13916015625,0,0,0,-344.1564178843358
-6546.13720703125,0,0,0,-329.22434078127947
-6546.14013671875,0,0,0,-336.46543274125344
-6546.13818359375,0,0,0,-329.3964301843336
-6546.13720703125,0,0,0,-365.63729182514487
-6546.138671875,0,0,0,-350.2092295905931
-6546.13916015625,0,0,0,-326.696925244188
-6546.14111328125,0,0,0,-322.41866878350044
-6546.138671875,0,0,0,-315.87883234742776
-6546.1396484375,0,0,0,-299.49968116661137
-6546.13818359375,0,0,0,-307.96755784438864
-6546.138671875,0,0,0,-322.97802022878903
-6546.13623046875,0,0,0,-315.0392017963867
-6546.13916015625,0,0,0,-301.14211329664073
-6546.13818359375,0,0,0,-285.10944224462276
-6546.13818359375,0,0,0,-304.2563282545688
-6546.138671875,0,0,0,-344.387505249062
-6546.13916015625,0,0,0,-315.4241314229294
-6546.13916015625,0,0,0,-305.7803062830316
-6546.13818359375,0,0,0,-319.7028214581506
-6546.13818359375,0,0,0,-279.095983412026
-6546.140625,0,0,0,-303.7109714743705
-6546.14013671875,0,0,0,-306.34582637505474
-6546.13916015625,0,0,0,-272.6961473611675
-6546.13671875,0,0,0,-299.9725788497422
-6546.140625,0,0,0,-290.1970350447108
-6546.140625,0,0,0,-268.4325332304316
-6546.13427734375,0,0,0,-276.0957323195736
-6546.13720703125,0,0,0,-271.1709655583695
-6546.138671875,0,0,0,-279.6296926486382
-6546.13818359375,0,0,0,-300.05399147934844
-6546.1376953125,0,0,0,-286.54975444525985
-6546.14013671875,0,0,0,-292.9657013757562
-6546.1376953125,0,0,0,-269.8121408172855
-6546.13818359375,0,0,0,-287.8025394331912
-6546.13671875,0,0,0,-265.88155840894535
-6546.13916015625,0,0,0,-257.07535545313914
-6546.14013671875,0,0,0,-273.4512234295921
-6546.14111328125,0,0,0,-265.00983147574186
-6546.13916015625,0,0,0,-233.72941470357355
-6546.14013671875,0,0,0,-232.08690418230177
-6546.138671875,0,0,0,-232.66996091638723
-6546.13818359375,0,0,0,-242.0631170204585
-6546.1416015625,0,0,0,-231.10745673137873
-6546.138671875,0,0,0,-230.9809288508407
-6546.14013671875,0,0,0,-235.3023017556764
-6546.14013671875,0,0,0,-222.65754841729466
-6546.138671875,0,0,0,-221.68330617712652
-6546.14013671875,0,0,0,-236.0202777465002
-6546.1396484375,0,0,0,-221.18951150090007
-6546.13916015625,0,0,0,-222.1077583581379
-6546.1396484375,0,0,0,-222.52570583496828
-6546.14013671875,0,0,0,-242.9183187148082
-6546.13916015625,0,0,0,-227.19189193446653
-6546.13916015625,0,0,0,-224.31585652658154
-6546.138671875,0,0,0,-210.9614158714003
-6546.14013671875,0,0,0,-223.8545032077326
-6546.142578125,0,0,0,-220.19422839302743
-6546.1396484375,0,0,0,-226.91379937011592
-6546.14208984375,0,0,0,-218.02381162904229
-6546.1416015625,0,0,0,-224.1265042213101
-6546.140625,0,0,0,-218.3015125456179
-6546.13818359375,0,0,0,-219.73855837046938
-6546.13916015625,0,0,0,-209.21876263670413
-6546.1416015625,0,0,0,-229.89685299771207
-6546.140625,0,0,0,-213.80802555181356
-6546.14013671875,0,0,0,-217.48697192115108
-6546.14013671875,0,0,0,-203.24712436512394
-6546.1376953125,0,0,0,-251.29435139690335
-6546.142578125,0,0,0,-221.9450901993044
-6546.13916015625,0,0,0,-219.38064671228872
-6546.142578125,0,0,0,-232.89742932515202
-6546.1396484375,0,0,0,-212.13371603389666
-6546.14111328125,0,0,0,-222.16097228834946
-6546.14013671875,0,0,0,-215.50032685966428
-6546.138671875,0,0,0,-219.3752940450523
-6546.1396484375,0,0,0,-203.27814874717063
-6546.140625,0,0,0,-205.35657409253065
-6546.14111328125,0,0,0,-209.0877840638497
-6546.1416015625,0,0,0,-208.71222768771477
-6546.14208984375,0,0,0,-204.794700340318
-6546.14208984375,0,0,0,-214.2395833595855
-6546.140625,0,0,0,-198.9850383477382
-6546.138671875,0,0,0,-203.50754909604905
-6546.142578125,0,0,0,-192.60575362161376
-6546.14453125,0,0,0,-222.12589067203277
-6546.1396484375,0,0,0,-210.08887717815807
-6546.138671875,0,0,0,-194.063407982655
-6546.140625,0,0,0,-194.4296554804245
-6546.14208984375,0,0,0,-188.68072941284137
-6546.142578125,0,0,0,-179.47966841028713
-6546.140625,0,0,0,-185.32633512340925
-6546.14208984375,0,0,0,-177.58286491355642
-6546.14208984375,0,0,0,-175.78878500411363
-6546.14501953125,0,0,0,-177.23967992216117
-6546.14111328125,0,0,0,-165.47500407104394
-6546.140625,0,0,0,-172.6611688673925
-6546.1435546875,0,0,0,-173.36210059341792
-6546.14208984375,0,0,0,-175.1670460869288
-6546.14697265625,0,0,0,-166.74671421853452
-6546.14208984375,0,0,0,-189.03560132209668
-6546.14013671875,0,0,0,-167.81724452954273
-6546.140625,0,0,0,-166.1303308729015
-6546.1435546875,0,0,0,-167.1214004304984
-6546.1416015625,0,0,0,-165.6861525538131
-6546.14208984375,0,0,0,-173.0367183928413
-6546.13916015625,0,0,0,-165.50219923127358
-6546.14208984375,0,0,0,-194.84080526781233
-6546.14013671875,0,0,0,-172.85062633188653
-6546.140625,0,0,0,-166.70654516950754
-6546.14599609375,0,0,0,-163.67713208499913
-6546.140625,0,0,0,-162.16113102237946
-6546.13916015625,0,0,0,-165.69953430725866
-6546.1435546875,0,0,0,-157.95521142134203
-6546.142578125,0,0,0,-164.2341295446941
-6546.1396484375,0,0,0,-157.01315183246732
-6546.1435546875,0,0,0,-160.73311052117495
-6546.1416015625,0,0,0,-150.09613461402768
-6546.14208984375,0,0,0,-151.64713461787858
-6546.1435546875,0,0,0,-147.92267213028472
-6546.1396484375,0,0,0,-178.84602875393438
-6546.1416015625,0,0,0,-144.31810215536012
-6546.1435546875,0,0,0,-144.36108964184257
-6546.14013671875,0,0,0,-141.75020353958598
-6546.14111328125,0,0,0,-136.07840607664102
-6546.140625,0,0,0,-133.8899374500873
-6546.14013671875,0,0,0,-134.97391855461962
-6546.1396484375,0,0,0,-120.21120727345777
-6546.14208984375,0,0,0,-113.0049258164872
-6546.14306640625,0,0,0,-111.27916057704293
-6546.14111328125,0,0,0,-111.79058038319775
-6546.140625,0,0,0,-105.73109130210064
-6546.140625,0,0,0,-103.43258087078983
-6546.14306640625,0,0,0,-111.72936108284895
-6546.14111328125,0,0,0,-107.9447095344734
-6546.14013671875,0,0,0,-104.19146513838056
-6546.1416015625,0,0,0,-110.25865177162397
-6546.14208984375,0,0,0,-101.66934683822579
-6546.138671875,0,0,0,-105.2024751761578
-6546.140625,0,0,0,-104.88293806219559
-6546.140625,0,0,0,-100.02063843661776
-6546.140625,0,0,0,-100.0917072528823
-6546.142578125,0,0,0,-106.46888267255353
-6546.14013671875,0,0,0,-110.43207256716089
-6546.140625,0,0,0,-106.71309502651832
-6546.14208984375,0,0,0,-101.5294508845907
