loss,margin,positive_reward,negative_reward,deterministic_return,stochastic_return
0.0,0.0,0.0,0.0,-0.8353183342713131,-384.7037190848957
-405.068115234375,5129.362824331969,461.7518123500049,-4667.611011981964,-2.234660378577337,-236.75134946992534
-714.2244873046875,6878.206003189087,748.4024925231934,-6129.803510665894,-2.9061651924717635,-217.20382185704776
-774.6597900390625,7281.756607055664,805.2009963989258,-6476.555610656738,-3.4391715323508705,-228.9287835492286
-818.8665771484375,7669.96130657196,847.0211095809937,-6822.940196990967,-4.006031040448898,-245.50570570745504
-852.36083984375,7905.003173351288,878.7173018455505,-7026.285871505737,8.553535114902589,-346.8046795400036
-882.7203979492188,8141.738490819931,907.6501100063324,-7234.088380813599,49.95651008662776,-312.49072144810407
-913.4962158203125,8342.972563743591,937.4643869400024,-7405.508176803589,294.7248471840488,-265.30451201175384
-929.650634765625,8536.324889659882,952.4164156913757,-7583.908473968506,105.57417611728943,-305.5527662325511
-953.6532592773438,8741.35784459114,975.6447727680206,-7765.71307182312,-17.401445537444836,-201.58599344713576
-972.5753173828125,8900.959060907364,993.6644575595856,-7907.294603347778,409.9762389576257,-175.06793942602542
-989.8995361328125,9119.496122837067,1010.069721698761,-8109.426401138306,60.79088188513769,-265.804040147848
-1003.853759765625,9207.472538948059,1023.5173406600952,-8183.955198287964,207.50518209696025,-217.37559029632575
-1020.2990112304688,9363.297395467758,1039.4577901363373,-8323.83960533142,132.69758945693707,-277.23764010510274
-1034.7152099609375,9548.113670825958,1053.341341495514,-8494.772329330444,-64.21251256024173,-272.48553808551657
-1041.1243896484375,9633.02454161644,1059.380737066269,-8573.64380455017,466.81779341671944,-313.2402421445114
-1060.0218505859375,9808.660300254822,1077.5774927139282,-8731.082807540894,103.27945330147763,-184.34544746591428
-1064.0240478515625,9858.586502790451,1081.3974120616913,-8777.18909072876,-198.54749219412392,-214.829869877593
-1074.1785888671875,9929.259182691574,1091.263727903366,-8837.995454788208,1392.4500947236543,-227.20160674360258
-1084.007080078125,10089.971566438675,1100.6931030750275,-8989.278463363647,-41.10758802144865,-15.73321049142109
-1094.7615966796875,10213.140455722809,1110.946388721466,-9102.194067001343,406.55522499651704,-77.03406960190787
-1103.3516845703125,10296.800961494446,1119.33562374115,-9177.465337753296,-173.17563940577764,-154.22576767340075
-1112.7977294921875,10432.539813041687,1128.3585538864136,-9304.181259155273,30.737738259309072,-255.4317768369614
-1126.1741943359375,10503.786290884018,1141.525335073471,-9362.260955810547,-55.41509223515983,-95.61008445147712
-1125.6297607421875,10590.27382349968,1140.9034850597382,-9449.370338439941,-53.418462017989626,-404.4697195380069
-1132.0377197265625,10717.528620243073,1146.731966495514,-9570.796653747559,-29.952857875939664,73.6150327390402
-1143.010498046875,10755.990866661072,1157.8732061386108,-9598.117660522461,-136.36427180839286,-234.7402090123307
-1151.694091796875,10893.021955490112,1166.1035442352295,-9726.918411254883,897.5736130529436,-282.30327417152256
-1144.89306640625,10750.103546142578,1159.5450553894043,-9590.558490753174,906.3013970461519,-158.10243509738757
-1159.739501953125,11005.642934799194,1173.894769668579,-9831.748165130615,-53.928622046817146,-307.26251600044725
-1168.30859375,11099.533853054047,1182.1801543235779,-9917.353698730469,-64.43323080991031,-76.66005821421683
-1170.2706298828125,11163.817147731781,1184.0917983055115,-9979.72534942627,415.6669561499858,287.8798738060606
-1176.0318603515625,11233.721460342407,1189.6321849822998,-10044.089275360107,68.53504530601869,-158.193357250534
-1183.00048828125,11262.509425640106,1196.649802684784,-10065.859622955322,364.91521320362006,-204.47014570324205
-1189.914794921875,11462.183278560638,1203.0512862205505,-10259.131992340088,-159.01166275750546,-258.40240954763595
-1191.620849609375,11529.584917068481,1204.6896533966064,-10324.895263671875,-48.502216399414614,-292.90554097038904
-1192.9302978515625,11450.662824630737,1205.9341068267822,-10244.728717803955,-155.46476740257094,-119.96066481001057
-1206.420166015625,11623.821238517761,1219.2326498031616,-10404.5885887146,693.5018969539078,-39.228460752134936
-1209.0301513671875,11692.072626113892,1221.6631832122803,-10470.409442901611,144.49627998005676,59.68469556942112
-1204.8453369140625,11674.891976833344,1217.5147376060486,-10457.377239227295,748.2434918321942,112.28368365465921
-1217.803466796875,11820.359338760376,1230.0300846099854,-10590.32925415039,-314.28997237905054,-185.12323480605528
-1214.32958984375,11847.381384849548,1226.6508131027222,-10620.730571746826,127.95949318256878,-154.60910885347246
-1228.6575927734375,11988.020209789276,1240.5239367485046,-10747.496273040771,4.316697921186062,-61.66268053049403
-1227.2811279296875,11975.235436916351,1239.351815700531,-10735.88362121582,85.64787035497889,-209.27126921389382
-1242.2430419921875,12219.883131980896,1253.8143033981323,-10966.068828582764,-159.49904306064727,-254.6589297869945
-1236.7105712890625,12106.493832111359,1248.5820240974426,-10857.911808013916,-27.78677735247502,5.564178880930195
-1245.72705078125,12232.149827480316,1257.2143836021423,-10974.935443878174,710.5616739361358,-260.18470881025297
-1248.9561767578125,12336.875868320465,1260.5318894386292,-11076.343978881836,799.591429554667,-88.61986859655396
-1250.0738525390625,12418.741328716278,1261.3524088859558,-11157.388919830322,658.5442843096969,-250.20965850318535
-1252.0682373046875,12449.545360088348,1263.2612643241882,-11186.28409576416,2.505039070801524,-244.29741244879625
-1256.5079345703125,12524.10634803772,1267.525598526001,-11256.580749511719,722.650808616914,-235.33162494672047
-1265.7918701171875,12501.979930877686,1276.9440116882324,-11225.035919189453,662.5507672013842,-190.39342880031148
-1263.1942138671875,12613.758630752563,1274.2809505462646,-11339.477680206299,610.69537957771,-103.71403187068378
-1265.228271484375,12595.347589492798,1276.3208408355713,-11319.026748657227,249.71983163819036,-244.52810902757383
-1267.58544921875,12692.41181230545,1278.5223469734192,-11413.889465332031,198.68133081672437,71.6795311616157
-1280.531494140625,12866.139698028564,1291.190071105957,-11574.949626922607,519.3506583210923,-57.34068539487716
-1281.625,12951.403364658356,1292.103807926178,-11659.299556732178,779.1166432311501,44.62227589201482
-1282.88671875,12938.870422363281,1293.3857879638672,-11645.484634399414,102.595846395235,-86.83824929680671
-1281.9576416015625,12936.017081737518,1292.4242777824402,-11643.592803955078,198.53496052260584,-89.74420783309503
-1283.2584228515625,13046.145962715149,1293.8018350601196,-11752.34412765503,175.07568362525979,144.81931161546714
-1291.46337890625,13165.941651821136,1301.763696193695,-11864.177955627441,1461.2182130200229,-171.04479946248804
-1296.1820068359375,13204.790547847748,1306.3517355918884,-11898.43881225586,59.767070445951774,79.8631469803626
-1296.8406982421875,13242.172927856445,1306.974594116211,-11935.198333740234,194.96885650275675,79.31616034541362
-1298.0037841796875,13376.001456260681,1308.0813627243042,-12067.920093536377,1267.8517367966529,-116.59601334159933
-1304.3790283203125,13360.119926452637,1314.2572593688965,-12045.86266708374,1398.3695074443103,-151.2686186263498
-1302.105224609375,13461.290348052979,1312.0762176513672,-12149.214130401611,710.9250446391998,-110.34945852364665
-1309.247314453125,13491.030037403107,1319.0438580513,-12171.986179351807,998.5560188281358,-102.45055827265023
-1311.93603515625,13544.866463661194,1321.756043434143,-12223.11042022705,2463.4183201434876,1.408515978574559
-1311.297119140625,13607.77385854721,1320.938443660736,-12286.835414886475,956.6352743788127,19.121300939865844
-1313.9112548828125,13696.661630153656,1323.482747554779,-12373.178882598877,2299.97809297501,31.449199930511195
-1313.39404296875,13749.60236120224,1323.050717830658,-12426.551643371582,1310.7605833213145,95.92204321640513
-1320.6922607421875,13800.204312324524,1330.1939973831177,-12470.010314941406,483.23927945080516,204.3451622904908
-1329.35986328125,13924.498990535736,1338.7382864952087,-12585.760704040527,1017.2556201925054,-60.24697712400151
-1322.1287841796875,13923.685078144073,1331.6158871650696,-12592.069190979004,1665.4425530760905,-165.8197165765359
-1328.5797119140625,14011.295387268066,1337.8588638305664,-12673.4365234375,-97.38740293345668,372.9666975302005
-1329.9580078125,13977.57211303711,1339.3280220031738,-12638.244091033936,2415.2096074173814,-145.11296366023
-1333.3153076171875,14116.42203426361,1342.458800315857,-12773.963233947754,1076.0001845020363,-181.43828846884102
-1333.617431640625,14144.901449203491,1342.8228015899658,-12802.078647613525,755.4371005119153,-33.866370240785244
-1334.864990234375,14243.925187587738,1344.0520644187927,-12899.873123168945,1410.707491362385,-196.4999175268242
-1339.1146240234375,14280.021174907684,1348.2375826835632,-12931.783592224121,1636.9662807127484,-188.64223065322366
-1337.7650146484375,14306.645416736603,1346.9803814888,-12959.665035247803,1100.8883965350851,-173.16933572751913
-1340.209228515625,14367.8234333992,1349.2578320503235,-13018.565601348877,3516.7470063776614,-219.3893014715239
-1349.0389404296875,14571.179291725159,1357.9226922988892,-13213.25659942627,758.4430140756461,127.11570151027063
-1349.24609375,14404.786266803741,1358.2189373970032,-13046.567329406738,2339.814535065152,-166.00246020743302
-1352.1182861328125,14576.436549186707,1360.835425376892,-13215.601123809814,2203.9792347836556,432.007234194805
-1352.0035400390625,14611.771113872528,1360.6871409416199,-13251.083972930908,133.88216786988312,231.04788785928258
-1353.306884765625,14625.093828201294,1361.9908504486084,-13263.102977752686,1658.4093290389014,408.52947258079456
-1357.7618408203125,14647.344964504242,1366.5120940208435,-13280.832870483398,776.7771819100694,33.703550629878244
