loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0.0,0.0,0.0,9.10202372359828
98.8618392944336,1032.1153429218102,375.17763674934395,-656.9377061724663,452.1116600849341
91.89502716064453,1374.1732457876205,1048.7536153793335,-325.41963040828705,1265.0782417639866
94.45144653320312,1426.3124909672188,1319.8851490020752,-106.42734196514357,1283.4082855828015
101.50352478027344,1385.497837135219,1505.1444358825684,119.64659874734934,1541.899163128269
104.66461944580078,1374.511755079031,1585.9234392642975,211.4116841852665,1506.6476951677664
106.03269958496094,1377.5655566304922,1629.5881171226501,252.02256049215794,1498.8998537517211
106.6068115234375,1383.943314909935,1651.7169840335846,267.7736691236496,1226.0158436148242
106.84945678710938,1388.824375063181,1648.4241013526917,259.5997262895107,1230.4195959471936
107.69361114501953,1381.8912227228284,1601.3371605873108,219.4459378644824,1289.8580793561766
108.25801086425781,1383.3110132766888,1581.8123426437378,198.50132936704904,1280.9501779137863
108.54114532470703,1379.600585012231,1458.3895444869995,78.78895947476849,1340.6284861430613
109.16397094726562,1375.1201273972692,1357.1903307437897,-17.92979665347957,1519.098571918254
110.04715728759766,1370.752388327921,1197.0181205272675,-173.73426780065347,1322.4764943835733
110.39678192138672,1367.187839910388,1031.0046899318695,-336.1831499785185,1518.8462404142176
110.34192657470703,1365.784252434969,890.193434715271,-475.59081771969795,1667.2669124172257
111.04779815673828,1366.3916926980019,665.4343592226505,-700.9573334753513,1837.1926009333113
111.86553192138672,1360.0918303029612,485.49840896297246,-874.5934213399887,1363.12164782001
120.45392608642578,1338.75675523869,169.51513565174537,-1169.2416195869446,3603.1061833334543
112.2188720703125,1358.4392653868563,-252.70975158950023,-1611.1490169763565,3612.4486934208876
112.3355941772461,1352.3738860767335,-570.0288651306182,-1922.4027512073517,3615.7855332619847
112.29983520507812,1351.994700372219,-682.6380358338356,-2034.6327362060547,3608.260384766413
113.15103149414062,1351.070525355637,-841.7917807623744,-2192.8623061180115,2201.6298951758276
113.10594177246094,1353.2319461014122,-1008.1330782268196,-2361.365024328232,1431.7312032019424
115.70518493652344,1346.939786195755,-1547.28701877594,-2894.226804971695,3620.703054678017
113.37549591064453,1351.2291655540466,-1974.292645931244,-3325.5218114852905,2213.262072105624
113.74481964111328,1349.2426607608795,-2517.713039159775,-3866.9556999206543,1562.7657686257253
114.37307739257812,1346.9897451400757,-3829.636576652527,-5176.6263217926025,3625.346870389166
114.35438537597656,1346.5908403396606,-4166.203738212585,-5512.794578552246,3617.7692869952534
114.39576721191406,1345.2310392856598,-4751.183302164078,-6096.414341449738,1629.9563803883946
114.60698699951172,1344.7348618507385,-5301.763551235199,-6646.4984130859375,1385.6139849886874
116.05915832519531,1339.3770027160645,-6417.83477973938,-7757.211782455444,3607.3151616211526
115.49181365966797,1344.340111732483,-7008.333784103394,-8352.673895835876,3614.646618307979
116.21029663085938,1340.3044738769531,-6727.75754070282,-8068.062014579773,3611.213660432558
115.57546997070312,1344.7692279815674,-7901.866041183472,-9246.635269165039,3611.6675798448214
117.01296997070312,1337.0407648086548,-7677.307236671448,-9014.348001480103,3623.1367502319076
115.56685638427734,1343.2198877334595,-8168.955619812012,-9512.175507545471,3578.47164071473
115.4300537109375,1335.7273244857788,-9047.8302526474,-10383.557577133179,1350.4941986815486
116.46683502197266,1343.0462532043457,-9152.468432426453,-10495.514685630798,1660.7906847610823
115.9786148071289,1340.1388969421387,-9102.414735794067,-10442.553632736206,1477.0030573960144
116.13285827636719,1338.1609945297241,-8740.533604621887,-10078.694599151611,1491.4589931085452
115.9459228515625,1342.626537322998,-9671.902272224426,-11014.528809547424,1621.5772783566415
116.77896118164062,1341.0158138275146,-9815.169689178467,-11156.185503005981,3601.5411672763366
124.31161499023438,1322.5949697494507,-10329.84545135498,-11652.440421104431,3595.3101567498356
116.07721710205078,1340.2394227981567,-11072.23616695404,-12412.475589752197,1606.1161621915835
