loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0,0,0,2.476780167067701
-6480.07568359375,0,0,0,-7.147144364289215
-6546.14306640625,0,0,0,-6.841511089157898
-6546.14794921875,0,0,0,-6.731150319479292
-6546.1435546875,0,0,0,-6.865689680345408
-6546.146484375,0,0,0,-8.180646134475355
-6546.14990234375,0,0,0,-8.120925661446506
-6546.15087890625,0,0,0,-8.137862622996282
-6546.15478515625,0,0,0,-7.977463408603832
-6546.14794921875,0,0,0,-8.269648936982232
-6546.146484375,0,0,0,-7.526015115977613
-6546.150390625,0,0,0,-7.308821122407404
-6546.150390625,0,0,0,-7.526023144425809
-6546.14794921875,0,0,0,-7.347046818197503
-6546.14990234375,0,0,0,-7.449650485357491
-6546.14453125,0,0,0,-7.496068913886705
-6546.14599609375,0,0,0,-7.244761559475876
-6546.14794921875,0,0,0,-6.877855127831519
-6546.14892578125,0,0,0,-6.559502225834791
-6546.14794921875,0,0,0,-6.472106988272043
-6546.1455078125,0,0,0,-6.834681401123897
-6546.14697265625,0,0,0,-6.76551476463344
-6546.14794921875,0,0,0,-6.31594349597836
-6546.146484375,0,0,0,-6.597071559935186
-6546.14599609375,0,0,0,-6.819066148089225
-6546.146484375,0,0,0,-6.802718041742688
-6546.14404296875,0,0,0,-6.38032587158688
-6546.15185546875,0,0,0,-6.50410870370142
-6546.14990234375,0,0,0,-5.759803673735748
-6546.15185546875,0,0,0,-5.983324914965236
-6546.146484375,0,0,0,-6.517783293142546
-6546.1484375,0,0,0,-6.634489038159656
-6546.14404296875,0,0,0,-6.0893857871774975
-6546.15234375,0,0,0,-6.139444797048521
-6546.1455078125,0,0,0,-6.279519551863977
-6546.1494140625,0,0,0,-5.938248811857211
-6546.1474609375,0,0,0,-6.415244410648524
-6546.146484375,0,0,0,-6.258374604082546
-6546.15087890625,0,0,0,-6.294279708195152
-6546.1474609375,0,0,0,-5.923619525549172
-6546.1494140625,0,0,0,-6.429218181309604
-6546.146484375,0,0,0,-6.277136818451691
-6546.14697265625,0,0,0,-6.193383260577958
-6546.1513671875,0,0,0,-6.208291670017822
-6546.1474609375,0,0,0,-6.435853794373642
-6546.14599609375,0,0,0,-6.6025715134401075
-6546.1484375,0,0,0,-6.131796700877331
-6546.146484375,0,0,0,-6.166538299333137
-6546.14697265625,0,0,0,-5.719854322063764
-6546.142578125,0,0,0,-5.8430950953046
-6546.14892578125,0,0,0,-5.486673887372444
-6546.146484375,0,0,0,-5.599580446445183
-6546.1484375,0,0,0,-5.80841335444152
-6546.14892578125,0,0,0,-6.306840660897934
-6546.1474609375,0,0,0,-5.396432144428296
-6546.14599609375,0,0,0,-6.102001986209841
-6546.14697265625,0,0,0,-6.053797777293386
-6546.15087890625,0,0,0,-5.6112996369050405
-6546.1484375,0,0,0,-6.643616771133449
-6546.15478515625,0,0,0,-5.885060022900031
-6546.14794921875,0,0,0,-5.5249719738092065
-6546.1494140625,0,0,0,-5.909075253974098
-6546.14501953125,0,0,0,-5.801208075641597
-6546.154296875,0,0,0,-5.506896825719434
-6546.1484375,0,0,0,-5.744781432489896
-6546.146484375,0,0,0,-6.279333053078446
-6546.14697265625,0,0,0,-5.8913505217605415
-6546.14794921875,0,0,0,-5.470906373851724
-6546.1513671875,0,0,0,-6.075227910189508
-6546.14697265625,0,0,0,-5.61876184322581
-6546.1484375,0,0,0,-6.239907015151148
-6546.146484375,0,0,0,-5.880899359416388
-6546.14892578125,0,0,0,-5.747692121156186
-6546.1513671875,0,0,0,-5.918424228057118
-6546.146484375,0,0,0,-5.496260901370338
-6546.154296875,0,0,0,-5.676745785766802
-6546.14697265625,0,0,0,-6.1115889733980255
-6546.15185546875,0,0,0,-5.739639033272934
-6546.14990234375,0,0,0,-5.994076386903963
-6546.1484375,0,0,0,-5.5239937752250965
-6546.1474609375,0,0,0,-5.222349444131471
-6546.15087890625,0,0,0,-6.104483362429794
-6546.14892578125,0,0,0,-5.515674212394364
-6546.146484375,0,0,0,-5.3388904903675485
-6546.1484375,0,0,0,-5.335180278094834
-6546.1474609375,0,0,0,-5.485776257589921
-6546.1513671875,0,0,0,-5.41563330741155
