loss,margin,positive_reward,negative_reward,deterministic_return,stochastic_return
0.0,0.0,0.0,0.0,7.978318515647776,-0.17983397519942185
-3036.6396484375,41423.94351870939,3193.5305455438793,-38230.41297316551,33.82901725344245,130.30889017322357
-4112.21240234375,56416.927471637726,4210.557587146759,-52206.36988449097,2308.4466722078437,306.2142296816302
-4402.85400390625,61794.1196513176,4489.779227733612,-57304.340423583984,1838.0664765116696,697.1441789875732
-4577.18212890625,65258.20923614502,4657.575378417969,-60600.63385772705,1034.2780356844062,1003.0889835594223
-4698.3603515625,68008.2494893074,4774.468849658966,-63233.78063964844,293.1430092432105,1152.19891481082
-4791.56689453125,70636.6281824112,4864.084916114807,-65772.54326629639,464.8551705176727,600.7299437373119
-4885.265625,72863.05308294296,4954.82847738266,-67908.2246055603,3576.4431897144214,1566.3764512853645
-4945.15966796875,74671.32896137238,5012.73842716217,-69658.5905342102,4283.137304081882,2718.9954329723682
-4998.74267578125,75950.87253522873,5064.263690471649,-70886.60884475708,2300.801584211942,624.7962337559717
-5051.6220703125,77598.55883312225,5115.613940238953,-72482.9448928833,5069.56680473472,1932.692979435268
-5109.8330078125,78875.67772245407,5172.114112377167,-73703.5636100769,4477.610889040921,1948.116643979536
-5150.71044921875,80019.09288024902,5212.038799285889,-74807.05408096313,4691.660379094023,3100.5099475379343
-5183.31298828125,80958.07694721222,5243.435334205627,-75714.64161300659,3581.0072606912495,1839.5394223120425
-5210.93017578125,82264.80217981339,5270.107298374176,-76994.69488143921,4542.626944368399,2911.398783986776
-5246.52392578125,83418.15699243546,5304.51682138443,-78113.64017105103,3762.876524508388,3355.494050185948
-5277.9228515625,84263.96037340164,5335.273674488068,-78928.68669891357,4987.364711925415,2167.0390741080846
-5313.5302734375,85290.87256622314,5369.8124923706055,-79921.06007385254,4988.6991417312365,2564.3453398295487
-5340.7509765625,86520.38687896729,5396.106788635254,-81124.28009033203,4862.584127922928,3317.2592345027756
-5372.12939453125,87492.64740371704,5426.305805206299,-82066.34159851074,4469.016682520356,3742.5295428893323
-5386.974609375,88176.64941072464,5440.655804157257,-82735.99360656738,4919.357855173237,3737.2831262720147
-5415.85986328125,89131.11601734161,5468.942051887512,-83662.1739654541,4994.964198808613,3705.8891656245883
-5443.52490234375,89225.73728990555,5496.636612415314,-83729.10067749023,4870.161741147623,4725.948181449138
-5456.62744140625,90398.99474573135,5509.037485599518,-84889.95726013184,4682.455425336506,3315.962969147515
-5491.251953125,91648.73224544525,5542.48886013031,-86106.24338531494,4667.0101633904005,4237.602180569555
-5496.30859375,92288.42657470703,5547.112243652344,-86741.31433105469,4891.306373700123,3656.3782255160454
-5508.9462890625,92792.19051265717,5559.6672620773315,-87232.52325057983,4925.670976865726,4148.271467678116
-5536.94384765625,93429.60220384598,5587.139786243439,-87842.46241760254,4932.543245181866,4560.574420822088
-5554.69384765625,94545.81418037415,5604.07915687561,-88941.73502349854,4914.892991614967,4487.968030888054
-5575.4619140625,95220.2682299614,5624.651278972626,-89595.61695098877,4446.516197376498,4897.898169573851
-5576.568359375,95899.99612283707,5625.644896030426,-90274.35122680664,4938.993385422086,4878.728576745032
-5602.02978515625,96590.78229475021,5650.612617015839,-90940.16967773438,4178.308263751601,4717.254898018451
-5613.21533203125,97437.55797719955,5661.299569606781,-91776.25840759277,4932.721250042196,3404.8628472971127
-5648.44384765625,98193.48720121384,5696.166789531708,-92497.32041168213,4936.027814269773,4848.83529934961
-5639.0751953125,97876.47548437119,5686.80695104599,-92189.6685333252,4946.523120403753,4740.5868671963435
-5668.74560546875,99469.9199347496,5716.019734859467,-93753.90019989014,4929.243550008359,3987.941543714542
-5687.78564453125,100165.91123056412,5734.132574558258,-94431.77865600586,4968.130086279221,3742.442623433436
-5699.50146484375,100949.70250988007,5745.84144115448,-95203.86106872559,4872.9794051891695,4250.892879776322
