loss,margin,positive_reward,negative_reward,deterministic_return,stochastic_return
0.0,0.0,0.0,0.0,-0.8353183342713131,-384.7037190848957
-2730.59033203125,20572.88895134628,2739.0494982749224,-17833.839453071356,-5.597572238575712,-201.26361431188792
-3492.55517578125,26482.390137195587,3494.7197337150574,-22987.67040348053,141.75505074178062,-120.73524363424687
-3803.156494140625,30257.77995443344,3804.890847682953,-26452.88910675049,341.57241741720657,-32.38257546486135
-4005.987060546875,32923.592447280884,4007.359582901001,-28916.232864379883,-52.70101694468839,-191.50574020989248
-4153.458984375,35162.866043806076,4154.70617556572,-31008.159868240356,227.1748264199826,42.72120805665453
-4279.5068359375,37220.69087147713,4280.836411714554,-32939.85445976257,202.07447439081835,95.35360461763936
-4383.7724609375,39207.16772341728,4384.902188062668,-34822.265535354614,218.92646893540024,18.310242161465947
-4479.24267578125,41180.521757125854,4480.421186447144,-36700.10057067871,1065.339787351661,-45.22463580236576
-4564.74267578125,42803.787693977356,4565.8100843429565,-38237.9776096344,351.232735614408,146.4353116295151
-4633.5947265625,44478.86901593208,4634.595065355301,-39844.27395057678,777.118977448217,-89.31200482177296
-4699.94287109375,45912.40675210953,4701.024281024933,-41211.382471084595,344.48215841913543,-82.2177684788237
-4770.318359375,47464.46061372757,4771.33039522171,-42693.13021850586,2155.296743880538,70.9237135751229
-4806.80126953125,48932.863079071045,4807.701560974121,-44125.161518096924,606.0149889259872,-30.951775109506183
-4865.24951171875,50751.284786224365,4866.259094238281,-45885.025691986084,1777.0273279855196,-106.79260259630277
-4909.89892578125,51726.692215919495,4910.862099647522,-46815.83011627197,719.4520667185053,-85.72480043312017
-4953.115234375,53492.736536979675,4954.077765464783,-48538.65877151489,2177.229040974935,-66.1525057004173
-4976.30908203125,54687.408767700195,4977.227909088135,-49710.18085861206,2818.363799238955,-36.270170252736804
-5003.48681640625,55546.0155506134,5004.393030166626,-50541.62252044678,5249.030090166093,30.013212154655935
-5031.04052734375,57613.22999429703,5032.021513462067,-52581.20848083496,1100.309669952345,-17.133015059060643
-5077.06689453125,58361.72663021088,5077.889063835144,-53283.83756637573,4672.78149192921,196.64252271107074
-5085.15478515625,59402.628824710846,5085.974417209625,-54316.65440750122,2473.076257828469,21.207736217039248
-5125.41552734375,61488.145370960236,5126.293838977814,-56361.85153198242,4150.337261441213,-80.02489577180238
-5146.1884765625,61884.30566120148,5147.102417945862,-56737.203243255615,4399.847998948065,-238.91648193162683
-5157.40185546875,63185.655416965485,5158.507158756256,-58027.14825820923,8384.348482657455,31.29411991931962
-5174.39111328125,64178.60215616226,5175.1865792274475,-59003.415576934814,8791.643236875878,130.7376961143376
-5199.65869140625,65905.07687520981,5200.496255397797,-60704.58061981201,5191.093658698139,289.9251168626954
-5222.10400390625,66418.54589128494,5222.768463611603,-61195.77742767334,5646.835358320552,-19.541249221676892
-5226.34375,66580.82188558578,5227.119992733002,-61353.70189285278,8669.387668606774,363.9253206456349
-5256.3779296875,68615.84459161758,5256.992926120758,-63358.851665496826,11038.266120651304,520.1138778264377
-5267.60009765625,67963.87931776047,5268.2175822258,-62695.66173553467,10708.119693877472,1020.2606110573579
-5256.04296875,69139.89757680893,5256.4160742759705,-63883.48150253296,8409.962129401869,19.6781590676538
-5299.94970703125,69637.24143123627,5300.422583580017,-64336.81884765625,6354.331379580816,17.342009667915395
-5303.2880859375,70630.5486946106,5303.940200805664,-65326.60849380493,11116.756601591744,405.1430447686621
-5313.93603515625,72073.70782136917,5314.441071033478,-66759.2667503357,9474.216407251544,-155.63726919786592
-5330.19873046875,72423.55127239227,5330.773840904236,-67092.77743148804,9401.091178535811,788.425828420877
-5348.5126953125,72791.93179607391,5349.025858879089,-67442.90593719482,8961.779563347682,307.58512341310956
-5362.8017578125,74370.02521562576,5363.18709230423,-69006.83812332153,11028.901372528044,42.96832258227266
-5361.1064453125,74451.45161437988,5361.704277038574,-69089.74733734131,9365.70702916871,720.0289851698126
-5365.78857421875,75052.90157747269,5366.227432727814,-69686.67414474487,10053.887291460496,267.95011413073604
-5377.9609375,74975.76560020447,5378.344915390015,-69597.42068481445,9411.48305906711,380.6310210282009
-5383.7470703125,76103.0568151474,5384.094744682312,-70718.96207046509,9555.16287015054,141.42702740938296
-5401.44189453125,75902.46490478516,5401.887107849121,-70500.57779693604,5529.1365020405265,1417.2184314334295
-5417.21435546875,77017.91249132156,5417.688908100128,-71600.22358322144,5948.776894771718,448.2935420176491
-5414.783203125,76483.23036146164,5415.071204662323,-71068.15915679932,10820.931859782064,1189.9759552634775
-5432.61572265625,77952.96157360077,5433.024729728699,-72519.93684387207,11013.667939929364,1718.0066523058122
-5418.89501953125,77609.31555461884,5419.235835075378,-72190.07971954346,11275.20485216013,2388.0450875740016
-5447.75830078125,79259.730946064,5448.065464496613,-73811.66548156738,10962.622260532786,2242.562790727909
-5450.69091796875,78543.27242136002,5451.031771183014,-73092.240650177,10925.432750040589,2370.08215053633
-5451.01611328125,79200.17496585846,5451.3483781814575,-73748.826587677,11057.612226289195,858.5866956371008
-5453.1845703125,79421.7816529274,5453.641149997711,-73968.14050292969,11365.430287692572,979.326757424222
-5461.80322265625,79939.89065694809,5461.985551357269,-74477.90510559082,11261.457942564415,797.55932267797
-5483.39794921875,80557.62083625793,5483.599679946899,-75074.02115631104,11016.601505469145,961.2880934256358
-5479.20947265625,80664.65260744095,5479.382030963898,-75185.27057647705,11259.589693441998,1179.7389968575694
-5489.6298828125,81593.39948225021,5489.834285259247,-76103.56519699097,11198.877100763948,-90.10726439102235
-5490.61279296875,80869.35726499557,5491.007316112518,-75378.34994888306,9143.10409218071,3071.662749693302
-5501.84619140625,81795.32148599625,5502.1505761146545,-76293.17090988159,10114.67788181527,1028.9200027239403
-5500.53515625,81487.19085884094,5500.831567764282,-75986.35929107666,10784.098731538008,2781.599189250146
-5501.23388671875,81840.77446651459,5501.592875480652,-76339.18159103394,11123.601391450056,3726.972277397802
-5510.50048828125,82906.27826309204,5510.78063583374,-77395.4976272583,11116.695073187395,2291.920542367266
-5512.388671875,83045.40594148636,5512.5413937568665,-77532.86454772949,11000.316278566872,3294.609262864692
-5510.2001953125,82862.27757692337,5510.4199986457825,-77351.85757827759,10083.235571664616,2660.205584059958
-5506.52734375,82465.5854716301,5506.70955991745,-76958.87591171265,9718.712631324557,1445.6395534981953
-5524.9833984375,83188.7284784317,5525.4335260391235,-77663.29495239258,11156.117174391853,1900.2396219960094
-5536.025390625,83562.5108294487,5536.159572124481,-78026.35125732422,11362.975526533552,2464.441546975778
-5553.87109375,85629.06583547592,5553.985650539398,-80075.08018493652,9023.025614312724,1670.1371999720056
-5554.84912109375,84206.04515838623,5555.035606384277,-78651.00955200195,11122.043147553712,313.4017709237718
-5547.185546875,83712.33183336258,5547.326431751251,-78165.00540161133,11258.564651095832,2381.120025341331
-5550.21240234375,85429.13446617126,5550.34165763855,-79878.79280853271,10548.14460904463,1609.9915158533543
-5564.16748046875,85323.67870140076,5564.317495346069,-79759.36120605469,11340.18024990925,1394.4825093664829
-5565.404296875,84995.84223461151,5565.577551841736,-79430.26468276978,9960.473693538439,3041.3882753031053
-5576.89697265625,84837.36509656906,5576.976405620575,-79260.38869094849,11088.522563121114,3148.410100907324
-5565.7431640625,84980.32222557068,5565.818773269653,-79414.50345230103,11104.13421104593,2722.1000588840425
-5574.828125,86304.22045469284,5575.06893491745,-80729.15151977539,11009.52838458788,4612.206845247419
-5586.3251953125,85819.95163679123,5586.511085033417,-80233.44055175781,10924.369357894117,3311.923413383276
-5574.64599609375,86145.48523759842,5574.818039417267,-80570.66719818115,9160.677292707102,855.5319502132807
-5580.501953125,85901.19223737717,5580.732009410858,-80320.46022796631,11285.003125742733,2142.4131248109643
-5593.22802734375,86472.75628709793,5593.355984210968,-80879.40030288696,11361.90741981258,6438.201322693925
-5602.2255859375,86438.78483819962,5602.285364627838,-80836.49947357178,11327.570133741123,3775.593555721728
-5594.70263671875,86788.996945858,5594.774949550629,-81194.22199630737,11307.297664174546,3435.1308144372583
-5595.158203125,87619.56430482864,5595.291298389435,-82024.27300643921,11150.919835504197,5519.987422220885
-5597.0068359375,87438.24392414093,5597.104878425598,-81841.13904571533,10992.405856799873,6243.242125177669
-5607.9775390625,86143.44931650162,5607.982985019684,-80535.46633148193,11381.293837088882,4488.245170903809
