loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0,0,0,6.852868107279648
-6471.76416015625,0,0,0,-7.447025617118072
-6546.1455078125,0,0,0,-7.446583253207987
-6546.146484375,0,0,0,-7.231420758091766
-6546.142578125,0,0,0,-8.46023475138765
-6546.14453125,0,0,0,-8.290102667168023
-6546.14697265625,0,0,0,-8.727972315029074
-6546.14501953125,0,0,0,-8.714668076398505
-6546.1513671875,0,0,0,-8.485628553857834
-6546.1474609375,0,0,0,-8.681001642835515
-6546.15185546875,0,0,0,-8.035380873453429
-6546.14892578125,0,0,0,-8.122613550878068
-6546.14892578125,0,0,0,-8.149169807399076
-6546.1513671875,0,0,0,-7.414014890003362
-6546.14990234375,0,0,0,-7.968394439585065
-6546.14501953125,0,0,0,-6.494054928004759
-6546.14697265625,0,0,0,-5.946650150728852
-6546.146484375,0,0,0,-5.771949938503241
-6546.14697265625,0,0,0,-4.6343483072161735
-6546.14501953125,0,0,0,-4.2507445691611725
-6546.14453125,0,0,0,-3.2924605738533033
-6546.146484375,0,0,0,-2.979235441744804
-6546.14453125,0,0,0,-3.1149987540163333
-6546.14501953125,0,0,0,-2.757269233191434
-6546.14453125,0,0,0,-2.5977360953139987
-6546.14453125,0,0,0,-2.5060836184999253
-6546.14599609375,0,0,0,-2.8046606639362963
-6546.1435546875,0,0,0,-2.5879234609346553
-6546.14697265625,0,0,0,-2.672119869741104
-6546.14453125,0,0,0,-2.737760315655654
-6546.14501953125,0,0,0,-2.6440046683142233
-6546.14306640625,0,0,0,-3.0452241445946067
-6546.14306640625,0,0,0,-2.629030769265271
-6546.14599609375,0,0,0,-2.4148780505005316
-6546.1455078125,0,0,0,-2.6371003051387865
-6546.14599609375,0,0,0,-2.107415590755795
-6546.14404296875,0,0,0,-2.8096642314377975
-6546.1435546875,0,0,0,-2.672098508382211
-6546.14697265625,0,0,0,-2.980228358550123
-6546.1455078125,0,0,0,-2.6583402985947475
-6546.14501953125,0,0,0,-2.684300411005356
-6546.1455078125,0,0,0,-2.30231026956158
-6546.14599609375,0,0,0,-2.593269892418202
-6546.14453125,0,0,0,-2.4186675237207558
-6546.14599609375,0,0,0,-2.544469352218991
-6546.14501953125,0,0,0,-2.325817864501205
-6546.1455078125,0,0,0,-2.6622188246638805
-6546.14501953125,0,0,0,-2.55341116489233
