loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0.0,0.0,0.0,10.484395791729709
225.29669189453125,1338.0312332041212,1190.7248984491453,-147.30633475497598,3543.002317327535
237.90631103515625,1201.7288537621498,1850.6820969581604,648.9532431960106,3553.9976427750894
246.91888427734375,1090.7142217159271,1729.7069566249847,638.9927349090576,3605.489628119421
250.0801239013672,1043.4831950495718,1036.9003162309527,-6.582878818619065,3523.8507596192762
250.0363006591797,1025.714809562778,-395.69931185641326,-1421.4141214191914,3553.9062608422773
250.22547912597656,1011.3538488149643,-2883.6021550893784,-3894.9560039043427,3582.8653383718333
249.92271423339844,1001.2138519287109,-6350.618250846863,-7351.832102775574,3574.5224878212184
249.7102813720703,995.2419576644897,-11018.080701828003,-12013.322659492493,3479.74254165042
249.46929931640625,991.4435157775879,-20781.112506866455,-21772.556022644043,3587.9357708612392
249.04969787597656,988.3966417312622,-33527.269530296326,-34515.66617202759,3596.8537702146264
248.44361877441406,987.9015598297119,-50369.858335494995,-51357.75989532471,3625.980344869366
248.57664489746094,987.3837890625,-79492.36087417603,-80479.74466323853,3626.678707327175
247.85574340820312,983.5223236083984,-138979.75199508667,-139963.27431869507,3581.991720626695
248.6674041748047,975.4297370910645,-252927.0746574402,-253902.50439453125,3579.3620887956326
248.10804748535156,973.0305252075195,-416648.2311477661,-417621.26167297363,3573.794710241605
247.90252685546875,972.854850769043,-543922.6963729858,-544895.5512237549,3613.304526089548
248.1151885986328,968.0547714233398,-756158.893447876,-757126.9482192993,3551.1005860031496
248.03253173828125,968.8363037109375,-1092159.7909927368,-1093128.6272964478,3615.7426952987803
247.68862915039062,964.3309478759766,-1270263.2104187012,-1271227.5413665771,3608.5957116082773
247.49911499023438,964.2291717529297,-1541050.0888824463,-1542014.3180541992,3622.151710384467
248.4385223388672,959.165283203125,-1839611.3616256714,-1840570.5269088745,3610.592290528852
247.02377319335938,964.7349014282227,-1761463.6297073364,-1762428.3646087646,3563.8577791804087
247.18614196777344,959.7885437011719,-2402193.4541778564,-2403153.2427215576,3622.832505987567
246.90150451660156,963.0057678222656,-2479663.833152771,-2480626.8389205933,2990.380145635117
247.04244995117188,959.7631759643555,-2795430.0971984863,-2796389.8603744507,3537.1385258902683
248.81121826171875,953.3352584838867,-2116852.7570724487,-2117806.0923309326,3627.2325652791546
246.42713928222656,962.7094650268555,-2051898.4430084229,-2052861.1524734497,3610.5543494385984
246.6346893310547,957.7327117919922,-2519396.462585449,-2520354.195297241,3534.695442599905
246.8007354736328,955.8532409667969,-2843092.819869995,-2844048.673110962,3575.5757918920262
