loss,margin,positive_reward,negative_reward,deterministic_return,stochastic_return
0.0,0.0,0.0,0.0,-8.078300232821423,-210.84802356165835
249829088.0,-6593207.0,121617992.15625,128211199.234375,223.29599311695165,-95.64130774912745
249968208.0,-8694748.0,120636778.28125,129331526.828125,-808.6749441946237,1021.7491291057369
249995552.0,-9529203.0,120233179.546875,129762382.265625,537.8242375558679,-237.5400256905977
250016736.0,-10205582.0,119905570.109375,130111147.21875,1457.6170480462408,1162.7816151028874
250031808.0,-10783257.0,119624269.484375,130407522.53125,-167.1020078700978,1097.412720593804
250046976.0,-11293127.0,119376989.328125,130670120.59375,-310.90588436513286,-153.42047134709003
250062336.0,-11745194.0,119158601.984375,130903797.859375,545.605251222779,-186.04565136234027
250078016.0,-12197573.0,118940251.578125,131137825.09375,-39.56344994317087,-355.91247128459577
250094128.0,-12543501.0,118775324.546875,131318825.53125,-132.02481988805215,-277.89171028941104
250102096.0,-12839437.0,118631250.109375,131470697.09375,-232.12422984698773,-211.29766452218652
250375872.0,-644289.6875,124865811.515625,125510101.390625,-238.42323754931326,-287.14303781439054
250277376.0,-799149.25,124739084.765625,125538234.109375,466.7663124289507,-99.26440503687496
250145440.0,-973169.9375,124586171.25,125559341.109375,-210.57046195953484,-303.41599254373904
250077312.0,-1148916.625,124464201.625,125613119.046875,-24.619004085337124,-225.6108118054443
250073584.0,-1300847.5,124386426.671875,125687273.75,-216.92341692877207,-131.79582642429904
250004544.0,-1471874.5,124266366.40625,125738239.84375,-256.24325312281866,-152.77704231593532
249972752.0,-1646886.5,124162921.421875,125809808.0625,-268.4527042322543,-87.85481231138013
249951136.0,-1787498.875,124081779.375,125869277.953125,-227.10647587402008,-221.05744012359375
249924112.0,-1973231.125,123975479.09375,125948710.734375,-210.49195463119696,-107.25216700719378
249911072.0,-2107528.5,123901811.078125,126009339.75,135.09476407055953,175.47228010331827
250806656.0,-778997.25,125013859.375,125792856.484375,-252.15144716697836,-217.27080315384737
250685248.0,-834762.6875,124925294.828125,125760056.859375,44.33207715543878,-69.29859700588513
250659904.0,-917363.1875,124871303.71875,125788667.171875,-310.36786374337413,-212.90616616604666
250599328.0,-992116.1875,124803602.84375,125795718.9375,-190.55237129237432,-246.85891868486365
250558688.0,-1075999.125,124741360.078125,125817359.40625,-220.3074372318781,-356.2911053232364
250503152.0,-1156692.75,124673208.3125,125829900.9375,-233.50118547799275,-184.9138048181916
250435936.0,-1240254.125,124597896.609375,125838150.75,-100.72205017009156,-222.69240448515217
250434512.0,-1305569.0,124564459.171875,125870027.796875,-266.0499086387753,-217.20218522741925
250361328.0,-1402491.625,124479446.890625,125881938.5625,-200.70001672007115,-249.7091119690144
250373312.0,-1488608.25,124442314.09375,125930922.65625,-151.19553234837318,-76.52175435536665
250963200.0,-805136.3125,125079068.8125,125884204.90625,-291.7799174259629,-211.77665208616952
250870608.0,-839474.25,125015620.71875,125855094.703125,139.74420299002045,-182.5977017732665
250790688.0,-893142.5,124948737.125,125841880.109375,-226.1039366809802,-224.26586003896713
250777792.0,-938436.5,124919656.203125,125858092.65625,-234.7244839828553,-165.51311206763253
250743600.0,-997986.375,124872884.703125,125870870.71875,-205.49277263820113,-195.0782173240831
250739152.0,-1052365.25,124843395.71875,125895761.046875,-161.35740755256813,-216.30172138722398
250654336.0,-1106300.25,124774046.125,125880346.609375,-220.16556728779364,-307.5448017922292
250615472.0,-1149209.375,124733149.109375,125882357.578125,-230.11104873510592,-268.29353874361857
250599248.0,-1217737.5,124690734.328125,125908471.421875,-206.46819310641547,-208.66080291726448
250587488.0,-1271021.25,124658261.359375,125929282.546875,-305.1494957798999,-286.82928246413985
251151424.0,-840593.25,125155477.15625,125996070.578125,-167.09512055926973,-229.0800809807356
251028800.0,-877667.6875,125075581.875,125953249.03125,-242.27554261740164,-172.12556836905014
251061328.0,-919904.8125,125070630.75,125990536.21875,-55.820535755290436,-222.26544723321385
251000496.0,-972542.0625,125013912.46875,125986454.375,-96.69141862462327,-173.1639298473525
250908720.0,-1007079.3125,124950763.984375,125957843.28125,-219.1422015456113,-215.05447685522333
250953536.0,-1065700.5,124943896.8125,126009597.125,-370.00580834194875,-305.80908461936104
250911040.0,-1087917.625,124911568.75,125999486.28125,-198.6008018893769,-316.4119828979165
250832688.0,-1130318.875,124851170.828125,125981489.625,-218.42319069456968,-350.45343611997663
250824752.0,-1188691.125,124818046.0625,126006737.46875,-100.18009622052215,-219.23525942338807
250849136.0,-1217805.125,124815621.5625,126033426.40625,-206.5736593278309,-216.0557947102396
251090176.0,-1383882.625,124853124.609375,126237006.546875,-188.044250395801,-203.91894951795732
251182384.0,-1439355.0,124871454.625,126310809.234375,-210.21662087995514,-362.7997694932045
251062160.0,-1462215.25,124799949.84375,126262164.96875,-213.42305616629972,252.90640414222972
251058912.0,-1478616.75,124790088.390625,126268706.796875,-480.8202988283429,-214.23883879531948
251031856.0,-1519806.0,124755959.890625,126275765.90625,-205.3085057384777,-179.32300115163852
251026784.0,-1571932.25,124727479.203125,126299411.109375,-205.65690575305297,-212.16944469915794
250953296.0,-1593924.875,124679723.875,126273648.9375,-159.02096261447107,-215.419801398828
250959312.0,-1629470.875,124664883.703125,126294353.828125,90.89239432094836,-202.3323243521026
250902400.0,-1666716.75,124617787.078125,126284504.515625,-200.0405398682413,-189.87768790142735
250905536.0,-1701491.375,124602036.515625,126303528.03125,-223.51829321317717,-343.06465029682596
251287984.0,-1490177.75,124898854.5,126389033.265625,-102.67261592632101,-109.4831555007726
251207232.0,-1521988.0,124842603.203125,126364591.203125,-193.8669484222343,-221.72940429444907
251101024.0,-1554571.5,124773154.921875,126327726.15625,-164.72948299132312,-360.885118827006
251143760.0,-1581350.625,124781171.421875,126362521.96875,-206.34042087903006,-226.41394956190712
251090496.0,-1612199.25,124739125.140625,126351322.90625,-479.60179981225303,-296.8017221148381
251140752.0,-1638767.75,124750973.5625,126389740.53125,-194.69784609717405,-205.09657551812253
251076064.0,-1674542.125,124700704.09375,126375246.359375,-415.6221535840442,-140.40485557901135
251037312.0,-1708362.75,124664457.5625,126372820.40625,-222.72870451450024,-394.0608187854449
251032272.0,-1718661.25,124656854.4375,126375515.71875,-200.51027213199743,-357.3154329283754
250991200.0,-1763132.375,124613993.203125,126377125.53125,-262.03593739062114,-208.11370045216614
251107968.0,-1294381.5,124906834.171875,126201215.203125,-46.82587405100554,-316.12521893114405
251076624.0,-1354047.5,124861273.765625,126215321.109375,-90.74155025152228,-186.7378511493677
251107520.0,-1360731.125,124873413.484375,126234146.03125,-212.7737215244338,76.53917841194556
251068480.0,-1421926.25,124823269.6875,126245194.484375,-17.870627791258958,-205.21408405063903
251037200.0,-1421564.25,124807796.40625,126229360.625,-223.0984848366237,-192.77394320568874
251059152.0,-1451071.875,124803999.109375,126255070.96875,-214.9360596711227,-128.65086882771368
250979424.0,-1497579.75,124740946.78125,126238526.53125,-305.2999184624761,-221.69511183571487
251011280.0,-1515364.75,124747912.203125,126263276.796875,-187.10458661254103,-209.08739316765727
250950784.0,-1552791.875,124698965.890625,126251757.34375,-165.18994731944602,-211.39712183481114
250955488.0,-1557186.75,124699172.484375,126256359.046875,-386.114787026748,-224.22988017089304
251349024.0,-1559901.75,124894471.96875,126454374.265625,-141.14537787259286,-260.9398162282339
251391840.0,-1584198.125,124903791.4375,126487989.421875,-215.49616106950933,-206.0355658564559
251227728.0,-1612962.625,124807382.9375,126420346.15625,-362.4225587221238,-352.93820235200053
251237728.0,-1620788.75,124808459.765625,126429248.15625,-247.26750876658923,665.0356483504964
251240128.0,-1653489.875,124793324.671875,126446813.890625,-316.51887969690114,-65.34737099461171
251259200.0,-1663177.625,124798067.8125,126461245.375,-363.25351349050374,-233.5726990351058
251233664.0,-1679843.5,124776935.234375,126456778.4375,-134.31739060892443,-296.5657547261744
251204544.0,-1721682.0,124741429.8125,126463111.484375,900.081531091675,-156.612271206188
251183760.0,-1723279.125,124730232.53125,126453511.203125,-360.9659110470401,-98.35804562686818
251186864.0,-1777828.875,124704505.21875,126482334.046875,-303.1508575954115,-37.31156868112705
251683488.0,-1345804.625,125168836.4375,126514641.671875,832.7040630724426,-226.59061667921446
251729424.0,-1393753.5,125167861.125,126561613.5,-353.5917003503704,-348.50498729592977
251608736.0,-1383202.125,125112767.75,126495970.1875,-200.38790358430677,-192.31054470886085
251682224.0,-1429168.75,125126553.75,126555723.015625,-182.86183478918147,-20.582770988245674
251640480.0,-1453543.5,125093482.8125,126547027.3125,-257.845714608968,42.1195599583801
251661888.0,-1482106.75,125089897.78125,126572004.984375,-32.492307050031286,-156.21070525808656
251564512.0,-1467743.75,125048391.96875,126516136.0625,-6.867655521350264,-222.56069288535105
251579648.0,-1479493.75,125050043.28125,126529535.65625,-386.4862919464788,-215.86661575494531
251484528.0,-1487154.5,124998698.546875,126485853.828125,-229.7128677116893,-224.61889396740682
251412704.0,-1495593.25,124958537.890625,126454131.890625,-404.84017546234537,-239.5586018553139
251876608.0,-2282430.25,124797092.96875,127079523.109375,-201.72704323729806,-130.14908131645538
251884064.0,-2334090.5,124774985.578125,127109076.75,-374.3777140030024,-238.52324947418967
251849360.0,-2344767.5,124752269.8125,127097037.1875,-243.77358201295803,699.2078538466471
251864464.0,-2350811.75,124756813.28125,127107625.21875,-236.23224682044616,-183.06162911847284
251756352.0,-2342224.0,124707024.859375,127049249.53125,-15.714755904382557,-189.9281304247535
251755792.0,-2373687.25,124691072.359375,127064759.3125,-53.39674038749429,-135.33926019527013
251801648.0,-2419585.5,124691012.484375,127110598.28125,-223.8227688724726,-237.89673965494285
251757552.0,-2416324.0,124670709.515625,127087032.703125,-371.3831120593809,-225.26433309453583
251727184.0,-2437005.0,124645029.03125,127082032.515625,-185.68353257225806,-193.79180222782603
251732816.0,-2425359.25,124653695.828125,127079056.734375,-233.60316134102789,-317.40052888528544
251519568.0,-1888453.0,124815538.875,126703992.515625,-308.3838347291103,-33.58964040475162
251535792.0,-1938775.5,124798540.546875,126737315.90625,-273.32059415807544,-226.0138824795346
251554624.0,-1964258.875,124795240.96875,126759499.359375,-213.24796223083473,-217.13600137801055
251523984.0,-1951347.75,124786281.75,126737629.625,-370.41196407799987,-252.45204168450255
251485664.0,-1986323.875,124749665.125,126735989.953125,-328.5405353162455,-223.59205354950126
251577184.0,-2004728.375,124786158.390625,126790886.671875,-289.6223181663666,-301.54845578160496
251450656.0,-1997733.125,124726460.34375,126724193.46875,-313.8603743525908,-215.5740303025904
251448032.0,-2028679.875,124709708.875,126738387.578125,-308.7190756101481,-146.1786029432763
251344880.0,-2055873.0,124644499.1875,126700372.671875,-300.76351303481374,-275.775342236341
251380128.0,-2074318.75,124652943.125,126727261.703125,-235.6184104942452,-39.699087949577056
251916480.0,-1677024.875,125119793.90625,126796819.125,-226.06075724229788,-227.34931685035036
251828832.0,-1706068.625,125061344.984375,126767413.109375,-336.19694983648867,-149.55628690957514
251903376.0,-1721378.875,125090972.109375,126812351.109375,-363.03493482598657,-226.6481905248247
251825712.0,-1727395.75,125049092.734375,126776487.96875,-370.2412824169486,-144.18894811573094
251865152.0,-1739123.25,125063039.265625,126802162.5,-221.59390588004828,-236.81567039813396
251849296.0,-1762776.25,125043260.53125,126806036.84375,-232.70374621772834,81.1667327639712
251755872.0,-1744559.5,125005651.8125,126750210.46875,-457.7361780760801,-251.81609852123904
251818976.0,-1779660.25,125019696.40625,126799357.359375,-365.27677838506474,-221.57949996968563
251739424.0,-1798710.75,124970407.296875,126769118.609375,-216.98700500607276,-191.10716886592198
251846800.0,-1814721.0,125016077.75,126830799.015625,-345.42506360364644,-211.15883733590906
252007312.0,-1908201.875,125049558.96875,126957760.640625,-304.80528308673485,-220.03224437806617
252114736.0,-1972095.0,125071285.15625,127043380.109375,-244.6498958202798,-217.43756682413553
252097472.0,-1974412.25,125061616.640625,127036028.703125,-316.98165458887627,-220.9541755261187
252120640.0,-2018374.5,125051145.6875,127069520.59375,-374.0961434647948,-92.39818030513851
252016896.0,-1975536.25,125020686.71875,126996223.078125,-446.2035443738429,-2.708086694854716
252062688.0,-2017497.375,125022543.375,127040041.890625,-223.5493091301578,-83.61900108643958
251987488.0,-2028775.875,124979384.65625,127008159.078125,-224.7297641497089,-166.05730622920868
251929568.0,-2012212.0,124958674.578125,126970886.15625,-220.53130413297862,-139.4013778604794
251929776.0,-2032796.25,124948507.890625,126981304.0,-188.24669897206988,-258.25853720769595
251837360.0,-2018177.125,124909563.109375,126927739.796875,-221.19905561189677,-121.32346198289885
252093008.0,-2003470.125,125044742.75,127048212.78125,-275.13531746782047,-314.5685506743309
252110704.0,-2047028.0,125031857.59375,127078885.046875,-358.34950501628566,435.62721251208774
252102112.0,-2047765.125,125027229.25,127074993.609375,-189.17933812718317,-216.27773626511723
251992416.0,-2045459.625,124973454.921875,127018914.46875,-296.1333627999421,-224.4843661989648
251945584.0,-2027206.25,124959126.734375,126986332.90625,-209.2941128423648,-429.8328373764864
252071536.0,-2102369.0,124984560.078125,127086928.875,-333.02015874033526,-15.95215234531549
