loss,margin,positive_reward,negative_reward,deterministic_return,stochastic_return
0.0,0.0,0.0,0.0,-0.8353183342713131,-384.7037190848957
11168.6318359375,13240.372913204134,1869.4058416709304,-11370.967071533203,-3.7026407919538107,-165.94684742207124
3428.765869140625,16140.006826877594,2536.3371844291687,-13603.669642448425,-7.566886993809253,-200.56742938687125
1755.576416015625,17511.442323446274,2760.8510015010834,-14750.59132194519,64.60750225176214,-103.74945680715432
659.3982543945312,18370.69570040703,2909.8210570812225,-15460.874643325806,-22.581312912761277,-69.72002039363267
-162.8190460205078,19206.595911741257,3038.4569232463837,-16168.138988494873,85.06968816626923,-190.30831433658858
-791.2572631835938,20044.18031001091,3161.4799087047577,-16882.700401306152,-113.85861622196414,-121.65796694437256
-1241.6549072265625,20684.537327051163,3244.6823275089264,-17439.854999542236,-84.1266110527978,-81.21656820717234
-1646.8717041015625,21339.31075692177,3342.872493982315,-17996.438262939453,293.32491647625426,-88.89561266400656
-1955.8846435546875,22012.386113643646,3412.173514842987,-18600.21259880066,-3.964957645696221,-18.811324914288157
-2202.509033203125,22493.595201730728,3480.309381723404,-19013.285820007324,75.92882385791674,140.78173185552765
-2445.640380859375,23175.996532678604,3561.3788454532623,-19614.61768722534,188.02229407657055,-54.339364707125966
-2675.408203125,23822.045161008835,3630.497942686081,-20191.547218322754,314.54322670356066,-115.51545958214095
-2809.771484375,24283.035205841064,3682.8370037078857,-20600.19820213318,162.58328988039258,-180.53137767998837
-3009.41796875,25058.098562717438,3762.254942417145,-21295.843620300293,253.08370872248116,-63.17975850068861
-3064.02294921875,25483.96326971054,3800.287040233612,-21683.67622947693,81.76809876523926,57.01717730151861
-3239.5791015625,26078.177435159683,3863.637974023819,-22214.539461135864,420.1712575846456,-15.662329212042488
-3440.314208984375,27019.80049777031,3941.1839854717255,-23078.616512298584,280.08707904737855,174.68720218204058
-3519.564208984375,27491.51967740059,3989.5091469287872,-23502.0105304718,-1.4606478952343225,-8.398998752432078
-3601.744384765625,28098.660171031952,4039.407359600067,-24059.252811431885,-4.2234562142039636,-43.1077703672365
-3719.883056640625,28743.194748401642,4099.5180287361145,-24643.676719665527,-81.70513377877347,-48.24161943458282
-3786.758544921875,29123.158199071884,4147.846559286118,-24975.311639785767,-8.922953810422792,51.757477548675396
-3884.012451171875,29797.71355009079,4194.340579509735,-25603.372970581055,30.07523966576038,-22.170665839206283
-3939.755615234375,30213.8647377491,4241.223403215408,-25972.64133453369,34.034379316140665,12.439222612590465
-4004.392578125,30865.833415985107,4280.619747161865,-26585.213668823242,459.1488575565696,99.67930143233707
-4073.842529296875,31587.86500120163,4349.353280544281,-27238.51172065735,-50.81147267953132,-15.792104848200115
-4188.736328125,32506.03510260582,4404.550481557846,-28101.484621047974,109.83784247781584,63.600108186218236
-4179.7685546875,32484.110303878784,4410.840143203735,-28073.27016067505,202.0202445617585,-48.85559302985298
-4237.546875,32876.09837913513,4445.548170089722,-28430.55020904541,67.8589690027666,-54.377815153603855
-4310.76416015625,33852.21266102791,4508.241000413895,-29343.971660614014,323.13262778555224,252.9306578568425
-4371.60595703125,34563.232060194016,4553.51652598381,-30009.715534210205,-72.32641887609932,79.68596051620413
-4324.5439453125,34287.81627559662,4548.396996498108,-29739.41927909851,240.80245047019207,-79.59944248352835
-4473.20703125,35457.4395339489,4616.872994184494,-30840.566539764404,145.8484323194155,-95.18264492472505
-4479.18115234375,35727.27681350708,4645.621648788452,-31081.655164718628,-102.2526594231962,-51.87968962582336
-4527.2998046875,36118.643714904785,4672.574014663696,-31446.06970024109,6.585939666073875,-105.52972628164953
-4559.50537109375,36713.09615659714,4707.7457728385925,-32005.350383758545,342.3346189045936,6.286993079323475
-4600.3857421875,37339.9968791008,4732.9025111198425,-32607.094367980957,298.3811028684677,100.04187522204829
-4592.7158203125,37662.07120037079,4749.3350076675415,-32912.73619270325,-58.02672578891693,16.405739075161943
-4681.3974609375,38249.72786903381,4798.988174438477,-33450.73969459534,277.528774614819,-67.42261188875318
-4643.83642578125,38103.7302904129,4799.77530002594,-33303.95499038696,399.529647156444,-29.98062586813611
-4699.462890625,38565.32526350021,4831.325261592865,-33734.00000190735,169.8885560238086,79.67654621587556
-4797.36083984375,39936.67168045044,4893.264999389648,-35043.40668106079,120.98440417392742,-69.06545275329992
-4549.23779296875,38013.47638773918,4826.302925825119,-33187.17346191406,558.571771722536,-68.64049661191709
-4869.24560546875,41008.072214603424,4960.479855060577,-36047.59235954285,356.13977802494026,27.71554096868142
-4865.36865234375,40982.29103851318,4959.771572113037,-36022.51946640015,868.6357503117282,15.440429114982603
-4875.61669921875,40916.68128156662,4970.846971035004,-35945.834310531616,119.25241858514485,-67.14410610734748
-4865.93212890625,41391.78140115738,4982.805616855621,-36408.97578430176,206.96409106473243,-68.61496755325865
-4861.83935546875,40939.763139247894,4977.241935253143,-35962.52120399475,64.00047660311768,9.576991777116945
-4952.76025390625,42829.0571475029,5043.000998973846,-37786.05614852905,-8.515363694264929,283.10863189834157
-4982.59228515625,42808.97191476822,5064.61276102066,-37744.35915374756,-50.911214826809484,-15.609767401658752
-4906.4736328125,41908.695736408234,5033.374083042145,-36875.32165336609,224.84911343365906,43.56473751422866
-5047.541015625,44244.39583539963,5114.955180644989,-39129.44065475464,888.1059232571606,-50.58470051926277
-5007.5498046875,43476.842811107635,5104.319463253021,-38372.523347854614,-91.10111685702293,-8.165606209555778
-4962.0517578125,43120.64894247055,5085.985024929047,-38034.663917541504,65.07847099508777,-38.96901683970358
-5152.40869140625,46122.217332839966,5212.4716510772705,-40909.745681762695,345.5924317190245,-110.67023451534753
-5040.287109375,43876.25665283203,5136.555614471436,-38739.701038360596,160.3397977362544,71.02937206647616
-5015.5947265625,44204.44474554062,5146.639882564545,-39057.804862976074,667.3556735119575,-1.5563283832724095
-5137.5703125,46085.00516319275,5223.126579284668,-40861.87858390808,280.7968229875434,-0.17335103763804796
-5162.3291015625,46162.103449344635,5244.453907489777,-40917.64954185486,534.1531614733042,-163.3933068540761
-5183.79931640625,46491.32747936249,5248.488482475281,-41242.83899688721,250.35158848432644,6.287141747047554
-5112.34521484375,45609.894718647,5217.74839258194,-40392.14632606506,133.61705894506338,-77.77890073471471
-5205.34130859375,47040.98428630829,5285.753977775574,-41755.230308532715,-173.40292273777484,-49.708051122911215
-5189.080078125,46866.78678512573,5278.644729614258,-41588.142055511475,721.0417248387748,24.783263321108926
-5213.01171875,47617.472244262695,5304.69176864624,-42312.780475616455,567.8840918817265,-54.97934312901291
-5236.48193359375,48098.694145679474,5319.964819431305,-42778.72932624817,501.8194521366269,9.294057081445288
-5290.20166015625,48913.52769327164,5355.060995578766,-43558.46669769287,554.4606379865445,-3.7220186080956497
-5256.4462890625,47967.77017879486,5330.230677604675,-42637.539501190186,301.3283388431266,1.0347340109232293
-5235.73681640625,48025.01451063156,5332.366286754608,-42692.64822387695,1403.7708777728126,-35.04572527876927
-5361.6123046875,50380.345245838165,5422.747658252716,-44957.59758758545,84.84184716846744,-93.85097114765912
-5306.47119140625,49066.18223762512,5384.328144073486,-43681.854093551636,132.24501536569102,95.16734179027274
-5288.1572265625,48931.92584371567,5378.511132717133,-43553.414710998535,2786.2859977789185,174.0290722796317
-5307.3212890625,49552.12214899063,5393.748304843903,-44158.37384414673,410.60026451512175,-94.72116329608058
-5434.46923828125,51702.21113681793,5478.828507423401,-46223.38262939453,-196.71482964220309,-38.70809877929028
-5341.30908203125,49866.82417631149,5420.84175825119,-44445.9824180603,2390.802036752176,411.22556381555006
-5375.41552734375,51063.531658649445,5444.814220905304,-45618.71743774414,989.4889592646017,-135.18293513324255
-5491.06689453125,53143.30881023407,5539.862959861755,-47603.445850372314,1806.205006009132,109.27750553237607
-5321.85693359375,49832.52843475342,5421.13529586792,-44411.3931388855,-24.011809982866573,-139.02396472127808
-5414.3427734375,52062.145131111145,5486.558318138123,-46575.58681297302,1773.420539079961,179.768420720493
-5465.57568359375,53010.29878473282,5534.4880204200745,-47475.810764312744,82.96458853313125,-73.24900682357307
