loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0.0,0.0,0.0,9.167194801000228
35.82017517089844,1204.6313240325544,1413.2657666318119,208.63444259925745,450.5143744947661
-130.39569091796875,894.2054562568665,2303.4271903038025,1409.221734046936,3547.159219891441
-184.37420654296875,791.5606511831284,2576.8568992614746,1785.2962480783463,3571.984013895879
-206.95631408691406,789.9415872097015,2661.0823773145676,1871.140790104866,3602.426902793605
-249.8256378173828,781.2548604011536,2834.8634877204895,2053.608627319336,3596.0934593268203
-260.4298400878906,789.8558466434479,2878.837966442108,2088.9821197986603,3573.7316993087543
-288.99957275390625,793.1228038072586,2987.960791826248,2194.8379880189896,3502.971771461132
-303.72052001953125,795.6272582411766,3044.603143930435,2248.9758856892586,3604.0746918205255
-308.6264953613281,797.3238961398602,3080.4912860393524,2283.1673898994923,3602.2501401285344
-350.723388671875,787.8050262928009,3250.703423500061,2462.89839720726,3621.899095208356
-350.8421630859375,789.7375280410051,3264.5198304653168,2474.7823024243116,3611.0244029907567
-361.94232177734375,789.3399350941181,3315.1884869635105,2525.8485518693924,1930.8417847412525
-371.2099304199219,780.9897947907448,3372.601335465908,2591.6115406751633,3588.717049723887
-388.4621887207031,781.3638188838959,3445.2586920261383,2663.8948731422424,3608.6247283144917
-406.3940124511719,778.9959824085236,3524.870940685272,2745.8749582767487,3594.0045456984094
-400.99102783203125,774.4757289886475,3518.8403713703156,2744.364642381668,3596.638344177383
-413.599853515625,782.8307691812515,3566.6680722236633,2783.837303042412,3594.5865263422866
-419.3856506347656,783.9676348268986,3593.812315493822,2809.8446806669235,3589.42176795958
-423.1362609863281,770.1060230135918,3639.055561065674,2868.949538052082,3586.914946691473
-443.0675048828125,790.9742860794067,3687.4127254486084,2896.4384393692017,3579.5535635434885
-447.6065368652344,776.9374686703086,3727.7677641138434,2950.830295443535,3604.3864625795172
-352.1145935058594,751.0434284210205,3456.418561935425,2705.3751335144043,3620.4719519312202
-442.5530090332031,776.4855355024338,3713.425925254822,2936.940389752388,3588.1620840665514
-473.58563232421875,777.9495849609375,3842.90926361084,3064.9596786499023,3581.880969419297
-441.0263977050781,774.2729190587997,3735.8417167663574,2961.5687977075577,3569.5149007872656
-406.1162109375,702.0447563901544,3757.187506914139,3055.1427505239844,3591.593946310858
-489.8631896972656,775.1909122467041,3919.7494235038757,3144.5585112571716,3601.110603050774
-479.787841796875,773.1235524229705,3888.104835253209,3114.9812828302383,3608.1353166258164
-491.6910095214844,777.9886195659637,3931.042236328125,3153.0536167621613,3562.5422358129736
-475.38104248046875,779.3179031014442,3873.863340318203,3094.5454372167587,3606.480084412263
-443.1070251464844,769.5799539089203,3764.747172832489,2995.1672189235687,3546.870504641549
-466.2864074707031,743.8936309814453,3910.8518075942993,3166.958176612854,3599.9544595255848
-508.0051574707031,776.7938755750656,4004.462744951248,3227.6688693761826,3608.1883629748613
-483.0977783203125,773.011130772531,3923.5056035146117,3150.4944727420807,3591.1842650069184
-494.42620849609375,769.8245164453983,3969.724818766117,3199.9003023207188,3589.392097511551
-494.8866882324219,756.1333618164062,4010.6369681358337,3254.5036063194275,3587.729019024625
-508.0967712402344,783.33469414711,4014.496741771698,3231.162047624588,3545.992150229286
-519.1356811523438,775.1546206474304,4067.8493456840515,3292.694725036621,3599.0899718323885
-523.1110229492188,775.5207366943359,4086.2480812072754,3310.7273445129395,3543.6063842489293
-402.0544128417969,726.9906548708677,3725.5268725156784,2998.5362176448107,3592.620284906883
-503.094482421875,805.8946347236633,3967.4314861297607,3161.5368514060974,3576.905320917658
-538.0618286132812,783.3126502037048,4129.475270271301,3346.1626200675964,3589.5333500368706
-527.1284790039062,766.5602822303772,4125.594668865204,3359.0343866348267,3573.384842776356
-522.4575805664062,769.799638748169,4107.177115917206,3337.377477169037,3582.4659485005277
-510.8338928222656,771.1054751165211,4060.730682492256,3289.625207375735,3594.2300954141106
-537.2968139648438,772.691375374794,4161.804033756256,3389.112658381462,3588.8233092554224
-538.8863525390625,780.0509021282196,4158.168097496033,3378.117195367813,3592.0756792609895
-393.6651611328125,701.5639219284058,3775.8042784929276,3074.240356564522,3557.766801788059
-436.654052734375,663.9279890060425,4004.047728538513,3340.1197395324707,3590.1582674181627
-514.0238037109375,767.0968975424767,4086.6190943717957,3319.522196829319,3578.034119913575
-284.70538330078125,469.45415353775024,3887.3449382781982,3417.890784740448,3577.288197251536
-528.0620727539062,764.6114785298705,4151.446491710842,3386.835013180971,3568.9362113118036
-554.7540283203125,774.3768513202667,4240.931888580322,3466.5550372600555,3549.4654263593925
-338.94915771484375,539.6588594913483,3924.9706330299377,3385.3117735385895,3588.3298699232937
-539.1256103515625,768.8194203674793,4184.642149955034,3415.822729587555,3587.9045109356166
-385.27337646484375,571.0557217597961,4036.7786469459534,3465.722925186157,3597.211792018541
