loss,margin,positive_reward,negative_reward,deterministic_return,stochastic_return
0.0,0.0,0.0,0.0,-0.8353183342713131,-384.7037190848957
-2640.628173828125,20345.79337016493,2679.8394030705094,-17665.95396709442,-3.7267687009690107,-236.30433577352613
-3425.6015625,25983.954533815384,3442.404918909073,-22541.54961490631,-16.51106159028506,92.68940079568306
-3737.000244140625,29533.303293466568,3751.6899893283844,-25781.613304138184,-74.7335514998308,-154.07717336354176
-3950.311279296875,32231.378989458084,3962.9123260974884,-28268.466663360596,-148.66985853117117,-112.74837938102596
-4102.88525390625,34479.093724012375,4115.228251218796,-30363.86547279358,40.88921068466714,-62.26039209422147
-4227.8935546875,36473.13469219208,4239.966795921326,-32233.167896270752,517.5971392345004,-66.275436955118
-4335.0146484375,38463.65495753288,4345.815241575241,-34117.83971595764,520.3478923317284,49.38125528181285
-4421.81005859375,40250.40337920189,4433.542268514633,-35816.861110687256,1059.4096428265896,65.23596942773553
-4511.025390625,41840.447284936905,4522.121864557266,-37318.32542037964,1040.7438905165232,-38.11826937932467
-4581.5380859375,43453.48998427391,4592.733379125595,-38860.756605148315,1422.7877706678528,247.69461531381322
-4654.25927734375,44932.68292045593,4665.76275062561,-40266.92016983032,780.7259332574382,238.49129758886346
-4728.12744140625,46427.23009157181,4739.2790513038635,-41687.951040267944,758.4258813485777,256.9249916078603
-4770.1513671875,47982.63347578049,4781.21822309494,-43201.41525268555,85.35265332998782,-58.23143679298806
-4831.05419921875,49822.671030044556,4842.00926399231,-44980.661766052246,2563.2871341797945,7.015828302654086
-4882.88623046875,50859.92781543732,4893.145016670227,-45966.78279876709,2304.5544922353265,261.83758531383273
-4925.7763671875,52721.90388441086,4936.716941356659,-47785.1869430542,3714.9868541013725,116.42515399507813
-4953.0654296875,53916.93321943283,4963.312201976776,-48953.621017456055,2007.2898661811055,32.54659307449861
-4985.5234375,55138.86530637741,4995.602351665497,-50143.262954711914,7506.028822984062,103.20789365884168
-5010.7060546875,56847.33755493164,5021.467079162598,-51825.87047576904,1628.553634815379,63.895804892116054
-5056.0341796875,57435.44578027725,5065.647291660309,-52369.79848861694,4913.519763355243,105.98111299582517
-5073.9521484375,59210.699625492096,5083.577734470367,-54127.12189102173,6594.631739967546,-15.933606041199955
-5113.75537109375,60950.65871810913,5123.076396942139,-55827.58232116699,9423.596728371984,340.27718189169116
-5133.95361328125,60934.48226070404,5143.057723045349,-55791.42453765869,6677.2509073321025,465.2685572988263
-5146.41064453125,62887.33696222305,5157.498957157135,-57729.83800506592,6969.066674609712,-122.98097122198048
-5159.130859375,63634.94180107117,5169.87859916687,-58465.0632019043,7195.501520565583,-46.14818896011965
-5187.75537109375,64593.90662527084,5196.755544185638,-59397.151081085205,4091.540246416498,208.84304582857968
-5213.98388671875,65812.1065416336,5222.782795906067,-60589.32374572754,4978.561329689687,192.77540326171086
-5221.26416015625,66417.9534201622,5230.566525936127,-61187.386894226074,9226.400787638613,773.5377452265673
-5243.77197265625,67363.75066137314,5252.634168148041,-62111.1164932251,9313.033397658914,142.09123450849563
-5265.64501953125,67970.02280855179,5274.731003284454,-62695.291805267334,9445.844379611526,369.9016197137488
-5252.0576171875,68959.07017660141,5259.655091762543,-63699.41508483887,10394.48119830361,142.6922409789275
-5295.14453125,69389.26234054565,5302.620616912842,-64086.64172363281,8285.606064565676,362.4273719075485
-5301.33056640625,70507.94340133667,5309.610744476318,-65198.33265686035,10484.071762232807,534.3687968035276
-5304.3359375,71550.80122232437,5314.358919620514,-66236.44230270386,7331.849249728761,737.7389335450274
-5326.8095703125,71901.61495256424,5335.458820819855,-66566.15613174438,10931.955453911458,1.1131997174106574
